,id,direction,title
,,,
0.0,sji96p,https://www.businessinsider.com/meta-q4-earnings-largest-ever-one-day-wipeout-190-billion-2022-2,Meta is poised to suffer the largest one-day wipeout in US corporate history. Its valuation could slump by more than $190 billion when markets open.
1.0,sir89c,https://arstechnica.com/science/2022/02/a-deep-freeze-is-coming-to-texas-and-no-one-knows-if-the-power-grid-is-ready/,"A deepfreeze is coming to Texas, and no one knows if the power grid is ready"
2.0,se8nqc,https://thehill.com/policy/technology/591708-elon-musk-offered-teen-5k-to-shut-down-twitter-account-tracking-his-private,Elon Musk offered teen $5K to shut down Twitter account tracking his private flights: report
3.0,sld1bp,https://www.side-line.com/meta-threatens-to-pull-facebook-and-instagram-from-the-european-market-what-does-this-mean-for-the-music-industry/,Meta threatens to pull Facebook and Instagram from the European market
4.0,s26ayo,https://www.businessinsider.com/ruling-ftc-meta-facebook-lawsuit-instagram-whatsapp-can-proceed-2022-1,"The FTC can move forward with its bid to make Meta sell Instagram and WhatsApp, judge rules"
5.0,sjudbe,https://www.businessinsider.com/facebook-blames-apple-10-billion-loss-ad-privacy-warning-2022-2,"Facebook blames Apple after a historically bad quarter, saying iPhone privacy changes will cost it $10 billion"
6.0,sdgz3z,https://www.wsj.com/articles/neil-youngs-music-is-being-taken-down-by-spotify-after-ultimatum-over-joe-rogan-11643230104,Spotify to Take Down Neil Young’s Music After His Joe Rogan Ultimatum
7.0,shtx3i,https://www.nbcnews.com/tech/new-senate-bill-farm-equipment-right-to-repair-rcna13961,Senate introduces bill to allow farmers to fix their own equipment
8.0,s8gw3p,https://www.businessinsider.com/playstation-inventor-metaverse-pointless-2022-1,The inventor of PlayStation thinks the metaverse is pointless
9.0,s1dohq,https://www.businessinsider.com/amazon-employee-ranking-system-drone-engineer-lawmakers-bill-washington-2022-1,A former Amazon drone engineer who quit over the company's opaque employee ranking system is working with lawmakers to crack it open
10.0,s72pjg,https://torrentfreak.com/adblocking-does-not-constitute-copyright-infringement-court-rules-220118/,"Adblocking Does Not Constitute Copyright Infringement, Court Rules"
11.0,sj2fj3,https://www.theverge.com/2022/2/2/22914970/facebook-app-loses-daily-users-first-time-earnings,Facebook lost daily users for the first time ever last quarter
12.0,s6ramd,https://www.iflscience.com/technology/nft-group-buys-copy-of-dune-for-266-million-believing-it-gives-them-copyright/,"NFT Group Buys Copy Of Dune For €2.66 Million, Believing It Gives Them Copyright"
13.0,s7mibp,https://finance.yahoo.com/news/sony-drops-9-6-wake-001506944.html,Microsoft Deal Wipes $20 Billion Off Sony's Market Value in a Day
14.0,sgak9a,https://www.engadget.com/t-mobile-vaccine-mandate-224438946.html,T-Mobile will fire unvaccinated corporate employees starting April 2nd
